"Country","Date","Statistic","Value"
"Liberia",2014-10-29,"Deaths",2413
"Mali",2014-10-29,"Cases",1
"Mali",2014-10-29,"Deaths",1
"Nigeria",2014-10-29,"Cases",20
"Nigeria",2014-10-29,"Deaths",8
"Senegal",2014-10-29,"Cases",1
"Senegal",2014-10-29,"Deaths",0
"Spain",2014-10-29,"Cases",1
"Spain",2014-10-29,"Deaths",0
"Guinea",2014-10-29,"Cases",1906
"Guinea",2014-10-29,"Deaths",997
"United States of America",2014-10-29,"Cases",4
"United States of America",2014-10-29,"Deaths",1
"Sierra Leone",2014-10-29,"Cases",5235
"Sierra Leone",2014-10-29,"Deaths",1500
"Guinea",2014-10-31,"Cases",1667
"Guinea",2014-10-31,"Deaths",1018
"Nigeria",2014-10-31,"Cases",20
"Nigeria",2014-10-31,"Deaths",8
"Spain",2014-10-31,"Cases",1
"Spain",2014-10-31,"Deaths",0
"United States of America",2014-10-31,"Cases",4
"United States of America",2014-10-31,"Deaths",1
"Senegal",2014-10-31,"Cases",1
"Senegal",2014-10-31,"Deaths",0
"Mali",2014-10-31,"Cases",1
"Mali",2014-10-31,"Deaths",1
"Liberia",2014-10-31,"Cases",6535
"Liberia",2014-10-31,"Deaths",2413
"Sierra Leone",2014-10-31,"Cases",5338
"Sierra Leone",2014-10-31,"Deaths",1510
"Spain",2014-11-05,"Cases",1
"Spain",2014-11-05,"Deaths",0
"United States of America",2014-11-05,"Cases",4
"United States of America",2014-11-05,"Deaths",1
"Guinea",2014-11-05,"Cases",1731
"Guinea",2014-11-05,"Deaths",1041
"Liberia",2014-11-05,"Cases",6525
"Liberia",2014-11-05,"Deaths",2697
"Mali",2014-11-05,"Cases",1
"Mali",2014-11-05,"Deaths",1
"Nigeria",2014-11-05,"Cases",20
"Nigeria",2014-11-05,"Deaths",8
"Senegal",2014-11-05,"Cases",1
"Senegal",2014-11-05,"Deaths",0
"Sierra Leone",2014-11-05,"Cases",4759
"Sierra Leone",2014-11-05,"Deaths",1070
"Nigeria",2014-11-07,"Cases",20
"Nigeria",2014-11-07,"Deaths",8
"Guinea",2014-11-07,"Cases",1760
"Guinea",2014-11-07,"Deaths",1054
"United States of America",2014-11-07,"Cases",4
"United States of America",2014-11-07,"Deaths",1
"Senegal",2014-11-07,"Cases",1
"Senegal",2014-11-07,"Deaths",0
"Liberia",2014-11-07,"Cases",6619
"Liberia",2014-11-07,"Deaths",2766
"Spain",2014-11-07,"Cases",1
"Spain",2014-11-07,"Deaths",0
"Mali",2014-11-07,"Cases",1
"Mali",2014-11-07,"Deaths",1
"Sierra Leone",2014-11-07,"Cases",4862
"Sierra Leone",2014-11-07,"Deaths",1130
"Spain",2014-11-12,"Cases",1
"Spain",2014-11-12,"Deaths",0
"United States of America",2014-11-12,"Cases",4
"United States of America",2014-11-12,"Deaths",1
"Mali",2014-11-12,"Cases",4
"Mali",2014-11-12,"Deaths",4
"Nigeria",2014-11-12,"Cases",20
"Nigeria",2014-11-12,"Deaths",8
"Guinea",2014-11-12,"Cases",1878
"Guinea",2014-11-12,"Deaths",1142
"Sierra Leone",2014-11-12,"Cases",5368
"Sierra Leone",2014-11-12,"Deaths",1169
"Liberia",2014-11-12,"Cases",6822
"Liberia",2014-11-12,"Deaths",2836
"Senegal",2014-11-12,"Cases",1
"Senegal",2014-11-12,"Deaths",0
"Senegal",2014-11-14,"Cases",1
"Senegal",2014-11-14,"Deaths",0
"Guinea",2014-11-14,"Cases",1919
"Guinea",2014-11-14,"Deaths",1166
"Spain",2014-11-14,"Cases",1
"Spain",2014-11-14,"Deaths",0
