"Country","Date","Cases","Deaths"
"Guinea",2015-01-16,2825,1829
"Mali",2015-01-16,8,6
"Senegal",2015-01-16,1,0
"Liberia",2015-01-16,8362,3556
"United States of America",2015-01-16,4,1
"Sierra Leone",2015-01-16,10186,3083
"United Kingdom",2015-01-16,1,0
"Nigeria",2015-01-19,20,8
"Liberia",2015-01-19,8435,3587
"United Kingdom",2015-01-19,1,0
"Spain",2015-01-19,1,0
"Guinea",2015-01-19,2873,1875
"Sierra Leone",2015-01-19,10306,3132
"Senegal",2015-01-19,1,0
"United States of America",2015-01-19,4,1
"Mali",2015-01-19,8,6
"Spain",2015-01-20,1,0
"United Kingdom",2015-01-20,1,0
"Senegal",2015-01-20,1,0
"Nigeria",2015-01-20,20,8
"Liberia",2015-01-20,8478,3605
"Guinea",2015-01-20,2871,1876
"Mali",2015-01-20,8,6
"United States of America",2015-01-20,4,1
"Sierra Leone",2015-01-20,10340,3145
"Sierra Leone",2015-01-21,10340,3145
"Nigeria",2015-01-21,20,8
"Liberia",2015-01-21,8478,3605
"Spain",2015-01-21,1,0
"Mali",2015-01-21,8,6
"Senegal",2015-01-21,1,0
"United States of America",2015-01-21,4,1
"Guinea",2015-01-21,2871,1876
"United Kingdom",2015-01-21,1,0
"Liberia",2015-01-22,8524,3636
"Senegal",2015-01-22,1,0
"United States of America",2015-01-22,4,1
"Nigeria",2015-01-22,20,8
"Sierra Leone",2015-01-22,10362,3153
"Mali",2015-01-22,8,6
"Guinea",2015-01-22,2873,1879
"Spain",2015-01-22,1,0
"United Kingdom",2015-01-22,1,0
"Sierra Leone",2015-01-23,10400,3159
"Mali",2015-01-23,8,6
"Liberia",2015-01-23,8524,3636
"Spain",2015-01-23,1,0
"Guinea",2015-01-23,2873,1880
"Senegal",2015-01-23,1,0
"Nigeria",2015-01-23,20,8
"United States of America",2015-01-23,4,1
"United Kingdom",2015-01-23,1,0
"Senegal",2015-01-26,1,0
"Sierra Leone",2015-01-26,10491,3195
"Nigeria",2015-01-26,20,8
"United States of America",2015-01-26,4,1
"Guinea",2015-01-26,2909,1906
"United Kingdom",2015-01-26,1,0
"Mali",2015-01-26,8,6
"Liberia",2015-01-26,8524,3636
"Spain",2015-01-26,1,0
"Mali",2015-01-27,8,6
"Liberia",2015-01-27,8622,3686
"United States of America",2015-01-27,4,1
"Spain",2015-01-27,1,0
"Nigeria",2015-01-27,20,8
"Senegal",2015-01-27,1,0
"Sierra Leone",2015-01-27,10518,3199
"United Kingdom",2015-01-27,1,0
"Guinea",2015-01-27,2917,1910
"Senegal",2015-01-28,1,0
"Liberia",2015-01-28,8622,3686
"United States of America",2015-01-28,4,1
"Sierra Leone",2015-01-28,10518,3199
"Spain",2015-01-28,1,0
"United Kingdom",2015-01-28,1,0
"Mali",2015-01-28,8,6
"Nigeria",2015-01-28,20,8
"Guinea",2015-01-28,2917,1910
"Mali",2015-01-29,8,6
"Nigeria",2015-01-29,20,8
"Spain",2015-01-29,1,0
"Liberia",2015-01-29,8643,3700
"United States of America",2015-01-29,4,1
"Senegal",2015-01-29,1,0
"Sierra Leone",2015-01-29,10537,3207
"Guinea",2015-01-29,2921,1911
"United Kingdom",2015-01-29,1,0
"Spain",2015-01-30,1,0
"Liberia",2015-01-30,8643,3700
"Sierra Leone",2015-01-30,10561,3216
"United Kingdom",2015-01-30,1,0
"Senegal",2015-01-30,1,0
"United States of America",2015-01-30,4,1
"Guinea",2015-01-30,2920,1913
"Nigeria",2015-01-30,20,8
"Mali",2015-01-30,8,6
"Liberia",2015-02-02,8668,3710
"Sierra Leone",2015-02-02,10707,3274
"United States of America",2015-02-02,4,1
"Nigeria",2015-02-02,20,8
"Senegal",2015-02-02,1,0
"Guinea",2015-02-02,2959,1937
"Mali",2015-02-02,8,6
"Spain",2015-02-02,1,0
"United Kingdom",2015-02-02,1,0
"Guinea",2015-02-03,2975,1944
"Mali",2015-02-03,8,6
"Senegal",2015-02-03,1,0
"Liberia",2015-02-03,8729,3739
"Nigeria",2015-02-03,20,8
"United Kingdom",2015-02-03,1,0
"Spain",2015-02-03,1,0
"Sierra Leone",2015-02-03,10740,3276
"United States of America",2015-02-03,4,1
"Sierra Leone",2015-02-04,10740,3276
"Mali",2015-02-04,8,6
"Liberia",2015-02-04,8745,3746
"Guinea",2015-02-04,2975,1944
"Spain",2015-02-04,1,0
"United Kingdom",2015-02-04,1,0
"Senegal",2015-02-04,1,0
"Nigeria",2015-02-04,20,8
"United States of America",2015-02-04,4,1
"United Kingdom",2015-02-05,1,0
"United States of America",2015-02-05,4,1
"Mali",2015-02-05,8,6
"Guinea",2015-02-05,2986,1947
"Sierra Leone",2015-02-05,10756,3286
"Nigeria",2015-02-05,20,8
"Liberia",2015-02-05,8745,3746
"Senegal",2015-02-05,1,0
"Spain",2015-02-05,1,0
"Nigeria",2015-02-06,20,8
"Mali",2015-02-06,8,6
"Spain",2015-02-06,1,0
"Senegal",2015-02-06,1,0
"Sierra Leone",2015-02-06,10792,3301
"Liberia",2015-02-06,8745,3746
"United States of America",2015-02-06,4,1
"United Kingdom",2015-02-06,1,0
"Guinea",2015-02-06,2988,1957
"Guinea",2015-02-10,3044,1995
"Spain",2015-02-10,1,0
"Mali",2015-02-10,8,6
"United States of America",2015-02-10,4,1
"Liberia",2015-02-10,8881,3826
"Senegal",2015-02-10,1,0
"Sierra Leone",2015-02-10,10934,3341
"United Kingdom",2015-02-10,1,0
"Nigeria",2015-02-10,20,8
"United States of America",2015-02-11,4,1
"Nigeria",2015-02-11,20,8
"Sierra Leone",2015-02-11,10934,3341
"Guinea",2015-02-11,3044,1995
"Senegal",2015-02-11,1,0
"Liberia",2015-02-11,8881,3826
"Mali",2015-02-11,8,6
"Spain",2015-02-11,1,0
"United Kingdom",2015-02-11,1,0
"Guinea",2015-02-12,3068,2018
"Sierra Leone",2015-02-12,10954,3350
"Liberia",2015-02-12,8881,3826
"Nigeria",2015-02-12,20,8
"United Kingdom",2015-02-12,1,0
"Mali",2015-02-12,8,6
"Senegal",2015-02-12,1,0
"Spain",2015-02-12,1,0
"United States of America",2015-02-12,4,1
"Sierra Leone",2015-02-13,10987,3363
"Senegal",2015-02-13,1,0
"Spain",2015-02-13,1,0
"Mali",2015-02-13,8,6
"Guinea",2015-02-13,3081,2032
"United Kingdom",2015-02-13,1,0
"United States of America",2015-02-13,4,1
"Liberia",2015-02-13,8931,3858
"Nigeria",2015-02-13,20,8
"Liberia",2015-02-16,9007,3900
"United States of America",2015-02-16,4,1
"Mali",2015-02-16,8,6
"United Kingdom",2015-02-16,1,0
"Guinea",2015-02-16,3101,2052
"Senegal",2015-02-16,1,0
"Spain",2015-02-16,1,0
"Sierra Leone",2015-02-16,11074,3401
"Nigeria",2015-02-16,20,8
"Nigeria",2015-02-17,20,8
"Liberia",2015-02-17,9007,3900
"United States of America",2015-02-17,4,1
"Guinea",2015-02-17,3108,2057
"Sierra Leone",2015-02-17,11103,3408
"Spain",2015-02-17,1,0
"Mali",2015-02-17,8,6
"United Kingdom",2015-02-17,1,0
"Senegal",2015-02-17,1,0
"Sierra Leone",2015-02-18,11103,3408
"United Kingdom",2015-02-18,1,0
"Nigeria",2015-02-18,20,8
"Spain",2015-02-18,1,0
"Mali",2015-02-18,8,6
"Liberia",2015-02-18,9007,3900
"Senegal",2015-02-18,1,0
"Guinea",2015-02-18,3108,2057
"United States of America",2015-02-18,4,1
"Nigeria",2015-02-19,20,8
"United States of America",2015-02-19,4,1
"Liberia",2015-02-19,9096,3947
"Senegal",2015-02-19,1,0
"Sierra Leone",2015-02-19,11155,3423
"Spain",2015-02-19,1,0
"Mali",2015-02-19,8,6
"Guinea",2015-02-19,3115,2067
"United Kingdom",2015-02-19,1,0
"United Kingdom",2015-02-20,1,0
"Liberia",2015-02-20,9096,3947
"Guinea",2015-02-20,3120,2072
"United States of America",2015-02-20,4,1
"Nigeria",2015-02-20,20,8
"Sierra Leone",2015-02-20,11155,3423
"Mali",2015-02-20,8,6
"Spain",2015-02-20,1,0
"Senegal",2015-02-20,1,0
"Liberia",2015-02-23,9229,4032
"Senegal",2015-02-23,1,0
"Spain",2015-02-23,1,0
"United Kingdom",2015-02-23,1,0
"Mali",2015-02-23,8,6
"Sierra Leone",2015-02-23,11155,3423
"Nigeria",2015-02-23,20,8
"Guinea",2015-02-23,3155,2086
"United States of America",2015-02-23,4,1
"United Kingdom",2015-02-25,1,0
"Sierra Leone",2015-02-25,11301,3461
"Liberia",2015-02-25,9238,4037
"Nigeria",2015-02-25,20,8
"Mali",2015-02-25,8,6
"United States of America",2015-02-25,4,1
"Guinea",2015-02-25,3155,2091
"Senegal",2015-02-25,1,0
"Spain",2015-02-25,1,0
"Mali",2015-02-26,8,6
"Senegal",2015-02-26,1,0
"Guinea",2015-02-26,3175,2101
"Sierra Leone",2015-02-26,11341,3479
"United Kingdom",2015-02-26,1,0
"United States of America",2015-02-26,4,1
"Liberia",2015-02-26,9265,4057
"Nigeria",2015-02-26,20,8
"Spain",2015-02-26,1,0
"Sierra Leone",2015-02-27,11370,3490
"Mali",2015-02-27,8,6
"Nigeria",2015-02-27,20,8
"United States of America",2015-02-27,4,1
"Guinea",2015-02-27,3190,2113
"United Kingdom",2015-02-27,1,0
"Senegal",2015-02-27,1,0
"Spain",2015-02-27,1,0
"Liberia",2015-02-27,9265,4057
"Guinea",2015-03-02,3205,2127
"United Kingdom",2015-03-02,1,0
"Sierra Leone",2015-03-02,11443,3530
"Spain",2015-03-02,1,0
"Nigeria",2015-03-02,20,8
"Mali",2015-03-02,8,6
"Liberia",2015-03-02,9265,4057
"United States of America",2015-03-02,4,1
"Senegal",2015-03-02,1,0
"Liberia",2015-03-04,9265,4057
"Nigeria",2015-03-04,20,8
"Senegal",2015-03-04,1,0
"United States of America",2015-03-04,4,1
"Mali",2015-03-04,8,6
"Spain",2015-03-04,1,0
"Sierra Leone",2015-03-04,11443,3530
"Guinea",2015-03-04,3205,2127
"United Kingdom",2015-03-04,1,0
"Nigeria",2015-03-05,20,8
"United Kingdom",2015-03-05,1,0
"Guinea",2015-03-05,3237,2141
"Spain",2015-03-05,1,0
"Liberia",2015-03-05,9249,4117
"Senegal",2015-03-05,1,0
"Mali",2015-03-05,8,6
"Sierra Leone",2015-03-05,11497,3565
"United States of America",2015-03-05,4,1
"United States of America",2015-03-06,4,1
"Mali",2015-03-06,8,6
"Nigeria",2015-03-06,20,8
"Liberia",2015-03-06,9249,4117
"Sierra Leone",2015-03-06,11517,3576
"Guinea",2015-03-06,3248,2147
"Spain",2015-03-06,1,0
"Senegal",2015-03-06,1,0
"United Kingdom",2015-03-06,1,0
"Guinea",2015-03-10,3285,2170
"Mali",2015-03-10,8,6
"Sierra Leone",2015-03-10,11619,3629
"Spain",2015-03-10,1,0
"United States of America",2015-03-10,4,1
"United Kingdom",2015-03-10,1,0
"Liberia",2015-03-10,9343,4162
"Senegal",2015-03-10,1,0
"Nigeria",2015-03-10,20,8
"Guinea",2015-03-11,3285,2170
"United States of America",2015-03-11,4,1
"United Kingdom",2015-03-11,1,0
"Mali",2015-03-11,8,6
"Senegal",2015-03-11,1,0
"Nigeria",2015-03-11,20,8
"Liberia",2015-03-11,9343,4162
"Spain",2015-03-11,1,0
"Sierra Leone",2015-03-11,11619,3629
"Nigeria",2015-03-12,20,8
"Spain",2015-03-12,1,0
"United Kingdom",2015-03-12,1,0
"United States of America",2015-03-12,4,1
"Sierra Leone",2015-03-12,11677,3655
"Liberia",2015-03-12,9343,4162
"Guinea",2015-03-12,3330,2187
"Senegal",2015-03-12,1,0
"Mali",2015-03-12,8,6
"Spain",2015-03-13,1,0
"Liberia",2015-03-13,9482,4241
"Sierra Leone",2015-03-13,11696,3663
"United States of America",2015-03-13,4,1
"Guinea",2015-03-13,3331,2192
"United Kingdom",2015-03-13,1,0
"Nigeria",2015-03-13,20,8
"Senegal",2015-03-13,1,0
"Mali",2015-03-13,8,6
"Mali",2015-03-16,8,6
"Guinea",2015-03-16,3373,2216
"Sierra Leone",2015-03-16,11742,3687
"Senegal",2015-03-16,1,0
"Nigeria",2015-03-16,20,8
"Spain",2015-03-16,1,0
"United States of America",2015-03-16,4,1
"Liberia",2015-03-16,9482,4241
"United Kingdom",2015-03-16,1,0
"Guinea",2015-03-17,3389,2224
"Mali",2015-03-17,8,6
"Nigeria",2015-03-17,20,8
"Senegal",2015-03-17,1,0
"Sierra Leone",2015-03-17,11751,3691
"Liberia",2015-03-17,9526,4264
"Spain",2015-03-17,1,0
"United Kingdom",2015-03-17,1,0
"United States of America",2015-03-17,4,1
"Liberia",2015-03-18,9526,4264
"Sierra Leone",2015-03-18,11751,3691
"Spain",2015-03-18,1,0
"Guinea",2015-03-18,3389,2224
"United Kingdom",2015-03-18,1,0
"Nigeria",2015-03-18,20,8
"Senegal",2015-03-18,1,0
"Mali",2015-03-18,8,6
"United States of America",2015-03-18,4,1
"United Kingdom",2015-03-20,1,0
"Guinea",2015-03-20,3404,2241
"Sierra Leone",2015-03-20,11794,3712
"United States of America",2015-03-20,4,1
"Nigeria",2015-03-20,20,8
"Senegal",2015-03-20,1,0
"Spain",2015-03-20,1,0
"Mali",2015-03-20,8,6
"Liberia",2015-03-20,9555,4283
"United States of America",2015-03-23,4,1
"Senegal",2015-03-23,1,0
"Liberia",2015-03-23,9593,4296
"Mali",2015-03-23,8,6
"Sierra Leone",2015-03-23,11829,3742
"United Kingdom",2015-03-23,1,0
"Guinea",2015-03-23,3420,2261
"Spain",2015-03-23,1,0
"Nigeria",2015-03-23,20,8
"Senegal",2015-03-24,1,0
"Sierra Leone",2015-03-24,11841,3747
"Guinea",2015-03-24,3429,2263
"Spain",2015-03-24,1,0
"Nigeria",2015-03-24,20,8
"Mali",2015-03-24,8,6
"United Kingdom",2015-03-24,1,0
"United States of America",2015-03-24,4,1
"Liberia",2015-03-24,9602,4301
"Senegal",2015-03-25,1,0
"Liberia",2015-03-25,9602,4301
"Spain",2015-03-25,1,0
"Mali",2015-03-25,8,6
"Sierra Leone",2015-03-25,11841,3747
"United Kingdom",2015-03-25,1,0
"Guinea",2015-03-25,3429,2263
"Nigeria",2015-03-25,20,8
"United States of America",2015-03-25,4,1
"Spain",2015-03-26,1,0
"Guinea",2015-03-26,3459,2273
"Senegal",2015-03-26,1,0
"Sierra Leone",2015-03-26,11866,3764
"Liberia",2015-03-26,9602,4301
"Mali",2015-03-26,8,6
"Nigeria",2015-03-26,20,8
"United Kingdom",2015-03-26,1,0
"United States of America",2015-03-26,4,1
"Liberia",2015-03-27,9602,4301
"Spain",2015-03-27,1,0
"Mali",2015-03-27,8,6
"Nigeria",2015-03-27,20,8
"Senegal",2015-03-27,1,0
"United Kingdom",2015-03-27,1,0
"United States of America",2015-03-27,4,1
"Guinea",2015-03-27,3466,2276
"Sierra Leone",2015-03-27,11889,3773
"Spain",2015-04-07,1,0
"Mali",2015-04-07,8,6
"Senegal",2015-04-07,1,0
"Nigeria",2015-04-07,20,8
"Guinea",2015-04-07,3515,2333
"United Kingdom",2015-04-07,1,0
"Liberia",2015-04-07,9862,4408
"United States of America",2015-04-07,4,1
"Sierra Leone",2015-04-07,12139,3832
"Liberia",2015-04-09,9862,4408
"United Kingdom",2015-04-09,1,0
"United States of America",2015-04-09,4,1
"Mali",2015-04-09,8,6
"Senegal",2015-04-09,1,0
"Spain",2015-04-09,1,0
"Nigeria",2015-04-09,20,8
